professione_20cat,count
Economic elite: landowners (possidenti),367
University/academia,350
Military,345
Legal profession (lawyers),283
Judiciary (magistrates),276
Economic elite: industry–agriculture (mixed),103
Prefectural/police,95
Economic elite: industry,90
Diplomacy,76
State administration,61
Engineering/architecture,56
Other/unclear,55
Business/commerce/management,53
Media/journalism,49
Medicine,31
Economic elite: finance,21
Writers/intellectuals,20
Teaching (non-university),17
Clergy,12
Politics/elected office,2
