period_in_office,nomination_cohort,n
1848–1859,1848–1859,144
1848–1859,1860–1882,0
1848–1859,1883–1913,0
1848–1859,1914–1924,0
1848–1859,1925–1946,0
1860–1882,1848–1859,93
1860–1882,1860–1882,594
1860–1882,1883–1913,0
1860–1882,1914–1924,0
1860–1882,1925–1946,0
1883–1913,1848–1859,7
1883–1913,1860–1882,351
1883–1913,1883–1913,805
1883–1913,1914–1924,0
1883–1913,1925–1946,0
1914–1924,1848–1859,0
1914–1924,1860–1882,8
1914–1924,1883–1913,404
1914–1924,1914–1924,299
1914–1924,1925–1946,0
1925–1946,1848–1859,0
1925–1946,1860–1882,2
1925–1946,1883–1913,157
1925–1946,1914–1924,261
1925–1946,1925–1946,521
